book_title,movie_title,movie_released,year,movie_genre,star_rating,weeks_on_list,gross_amount
HAPPY PLACE,,,,,,1,
SIMPLY LIES,,,,,,2,
IT ENDS WITH US,,,,,,98,
THE LAST THING HE TOLD ME,,,,,,42,
LESSONS IN CHEMISTRY,,,,,,25,
IT STARTS WITH US,,,,,,28,
SMALL MERCIES,,,,,,1,
VERITY,,,,,,73,
HELLO BEAUTIFUL,,,,,,7,
THE SEVEN HUSBANDS OF EVELYN HUGO,,,,,,95,
THE WAY OF THE BEAR,,,,,,1,
IN THE LIVES OF PUPPETS,,,,,,1,
NEVER NEVER,,,,,,9,
DAISY JONES & THE SIX,,,,,,17,
"TOMORROW, AND TOMORROW, AND TOMORROW",,,,,,20,
THE WAGER,,,,,,2,
OUTLIVE,,,,,,5,
THE LIGHT WE CARRY,,,,,,23,
GREENLIGHTS,,,,,,73,
THE BODY KEEPS THE SCORE,,,,,,140,
CRYING IN H MART,,,,,,58,
YOU CAN'T JOKE ABOUT THAT,,,,,,2,
DON'T TELL ANYBODY THE SECRETS I TOLD YOU,,,,,,1,
I'M GLAD MY MOM DIED,,,,,,38,
SPARE,,,,,,16,
KILLERS OF THE FLOWER MOON,,,,,,74,
"POVERTY, BY AMERICA",,,,,,6,
"HONEY, BABY, MINE",,,,,,1,
A FEVER IN THE HEARTLAND,,,,,,3,
PROJECT 562,,,,,,1,
HAPPY PLACE,,,,,,1,
SIMPLY LIES,,,,,,2,
LESSONS IN CHEMISTRY,,,,,,51,
IN THE LIVES OF PUPPETS,,,,,,1,
SMALL MERCIES,,,,,,1,
HELLO BEAUTIFUL,,,,,,7,
"TOMORROW, AND TOMORROW, AND TOMORROW",,,,,,31,
HANG THE MOON,,2017,,,,5,
HANG THE MOON,,2017,,,,5,
THE WAY OF THE BEAR,,,,,,1,
IT ENDS WITH US,,,,,,2,
DARK ANGEL,,,,,,3,
ROMANTIC COMEDY,,,,,,4,
REMARKABLY BRIGHT CREATURES,,,,,,15,
YOU SHOULDN'T HAVE COME HERE,,,,,,1,
NIGHT ANGEL NEMESIS,,,,,,1,
THE WAGER,,,,,,2,
THE LIGHT WE CARRY,,,,,,24,
OUTLIVE,,,,,,5,
GREENLIGHTS,,,,,,91,
DON'T TELL ANYBODY THE SECRETS I TOLD YOU,,,,,,1,
YOU CAN'T JOKE ABOUT THAT,,,,,,2,
I'M GLAD MY MOM DIED,,,,,,38,
SPARE,,,,,,16,
"HONEY, BABY, MINE",,,,,,1,
"POVERTY, BY AMERICA",,,,,,6,
PROJECT 562,,,,,,1,
A FEVER IN THE HEARTLAND,,,,,,3,
FAT TALK,,,,,,1,
YOU COULD MAKE THIS PLACE BEAUTIFUL,,,,,,3,
WHAT HAPPENED TO YOU?,,,,,,51,
THE LAST THING HE TOLD ME,,,,,,6,
IT ENDS WITH US,,,,,,104,
IT STARTS WITH US,,,,,,28,
THE SEVEN HUSBANDS OF EVELYN HUGO,,,,,,112,
VERITY,,,,,,90,
NEVER NEVER,,,,,,9,
UGLY LOVE,,,,,,92,
DAISY JONES & THE SIX,,,,,,24,
KING OF WRATH,,,,,,1,
HEART BONES,,,,,,13,
THE INVISIBLE LIFE OF ADDIE LARUE,,,,,,3,
THINGS WE NEVER GOT OVER,,,,,,30,
ICEBREAKER,,,,,,11,
THE HOUSEMAID,,,,,,1,
THE SILENT PATIENT,,,,,,89,
THE BODY KEEPS THE SCORE,,,,,,236,
CRYING IN H MART,,,,,,5,
KILLERS OF THE FLOWER MOON,,,,,,113,
THE ESCAPE ARTIST,,,,,,1,
BRAIDING SWEETGRASS,,,,,,159,
ALL ABOUT LOVE,,,,,,73,
FINDING ME,,,,,,4,
EDUCATED,,,,,,47,
"THINKING, FAST AND SLOW",,,,,,360,
FINDING ME,,,,,,0,
THE DAWN OF EVERYTHING,,,,,,4,
THE GLASS CASTLE,,2017,,,,466,
THE GLASS CASTLE,,2017,,,,466,
TALKING TO STRANGERS,,,,,,83,
BEING MORTAL,,,,,,129,
THE ANTHROPOCENE REVIEWED,,,,,,6,
GRIT,,,,,,145,
ATOMIC HABITS,,,,,,179,
THE CREATIVE ACT,,,,,,15,
Y'ALL EAT YET?,,,,,,1,
COMEDY BANG! BANG! THE PODCAST,,,,,,1,
SOUL BOOM,,,,,,1,
THE WISDOM OF THE BULLFROG,,,,,,4,
"THE BOY, THE MOLE, THE FOX AND THE HORSE",,,,,,178,
LOVE AND LEMONS SIMPLE FEEL GOOD FOOD,,,,,,1,
TASTING HISTORY,,,,,,2,
THE SUBTLE ART OF NOT GIVING A F*CK,,,,,,294,
WONDER,,,,,,394,
REFUGEE,,,,,,218,
NIC BLAKE AND THE REMARKABLES,,2018,,,,4,
NIC BLAKE AND THE REMARKABLES,,2018,,,,4,
ODDER,,,,,,32,
BIG TREE,,2011,,,,4,
BIG TREE,,2011,,,,4,
THE COMPLETE COOKBOOK FOR YOUNG CHEFS,,,,,,151,
TWO DEGREES,,,,,,30,
ONCE THERE WAS,,,,,,4,
FREEWATER,,,,,,4,
THE SWIFTS,,,,,,8,
BECAUSE I HAD A TEACHER,,,,,,11,
DRAGONS LOVE TACOS,,,,,,396,
THE WONDERFUL THINGS YOU WILL BE,,,,,,350,
THE DAY THE CRAYONS QUIT,,,,,,358,
WOO HOO! YOU'RE DOING GREAT!,,,,,,4,
DOLLY PARTON'S BILLY THE KID MAKES IT BIG,,,,,,1,
I WISH YOU MORE,,,,,,80,
