,Title,Author,Book_Published,Movie_Released,Bestseller_List,
0,The Invention of Hugo Cabret,Brian Selznick,2007,2011,2007,
1,My Abandonment,Peter Rock,2009,2018,None,
2,The Help,Kathryn Stockett,2009,2011,2009,
3,The Cider House Rules,John Irving,1985,1999,1985,
4,David Copperfield,Charles Dickens,1850,2019,none,
5,Charlie and the Chocolate Factory,Roald Dahl,1964,1971,2000,
6,One Flew Over The Cuckoo’s Nest ,Ken Kesey,1963,1975,1962,
7,The Orchid Thief: A True Story of Beauty and Obsession,Susan Orlean,1998,2002,1998,
8,Jurassic Park,Michael Crichton,1990,1993,1990,
9,The Hate U Give,Angie Thomas,2017,2018,2017,
10,Dune,Frank Herbert,1965,2021,1965,
11,The Shining,Stephen King,1977,1980,1977,
12,High Fidelity,Nick Hornby,1995,2000,1995,
13,The Lord of the Rings series,J.R.R. Tolkien,1955,2000,none,
14,The Chronicles of Narnia,C.S. Lewis,1956,2005,none,
15,If Beale Street Could Talk,James Baldwin,1974,2018,1974,
16,The Godfather,Mario Puzo,1969,1972,1969,
17,The Glass Castle,Jeannette Walls,2005,2017,2005,
18,To Kill a Mockingbird,Harper Lee,1960,1962,1960,
19,The Princess Bride: S. Morgensternâ€™s Classic Tale of True Love & High Adventure,William Goldman,1973,1987,none,
20,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,2014,2012,
21,Atonement,Ian McEwan,2003,2007,2001,
22,Life of Pi,Yann Martel,2001,2012,2001,
23,Push,Sapphire,1996,2009,1996,
24,12 Years A Slave,Solomon Northup,1853,2013,unknown,
25,Fight Club,Chuck Palahniuk,1996,1999,1996,
26,Crazy Rich Asians,Kevin Kwan,2013,2018,2013,
27,Call Me By Your Name,André Aciman,2007,2017,2007,
28,Anna Karenina,Leo Tolstoy,1878,2012,none,
29,Brokeback Mountain,Annie Proulx,1997,2005,none,
30,The Color Purple,Alice Walker,1982,1985,1982,
31,The BFG,Roald Dahl,1982,2016,1982,
32,The Great Gatsby,F. Scott Fitzgerald,1925,2013,none,
33,The Hours,Michael Cunningham,1998,2002,1998,
34,Revolutionary Road,Richard Yates,1961,2008,none,
35,The Lost Child of Philomena Lee,Martin Sixsmith,1955,2013,none,
36,Alice's Adventures in Wonderland,Lewis Carroll,1865,2010,none,
37,Little Women,Louisa M. Alcott,1868,2019,none,
38,Pride and Prejudice,Jane Austen,1813,1995,none,
39,The Picture of Dorian Gray,Oscar Wilde,1891,1945,none,
40,127 Hours,Aron Ralston ,2004,2010,None,
41,100 Rifles,Robert MacLeod,1969,1969,none,
42,The Hunger Games,Suzanne Collins,2008,2012,2008,
43,The Hunger Games: Catching Fire,Suzanne Collins,2009,2013,2009,
44,The Hunger Games: Mockingjay,Suzanne Collins,2010,2014,2010,
45,A Beautiful Mind,Sylvia Nasar,1998,2001,1998,
46,A Civil Action,Jonathan Harr,1995,1998,1995,
47,A Clockwork Orange,Anthony Burgess,1962,1971,1962,
48,A Good Year,Peter Mayle,2004,2006,none,
49,A Little Romance,"Patrick Cauvin,",1977,1979,none,
50,A Room with a View,E.M. Forster,1908,1985,none,
51,A Walk to Remember,Nicholas Sparks,1999,2002,none,
52,About a Boy,Nick Hornby,1998,2002,none,
53,All the Pretty Horses,Cormac McCarthy,1992,2000,1992,
54,Message in a Bottle,Nicholas Sparks,1998,1999,none,
55,The Lucky One,Nicholas Sparks,2008,2012,2008,
56,Dear John,Nicholas Sparks,2006,2010,2006,
57,The Last Song,Nicholas Sparks,2009,2010,2009,
58,The Notebook,Nicholas Sparks,1996,2004,1996,
59,Nights in Rodanthe,Nicholas Sparks,2002,2008,2002,
60,Angels & Demons,Dan Brown,2000,2009,2000,
61,The Da Vinci Code,Dan Brown,2003,2006,2003,
62,The Girl with the Dragon Tattoo,Stieg Larsson,2008,2011,2008,
63,The Girl Who Played with Fire,Stieg Larsson,2009,none,2009,
64,The Girl Who Kicked the Hornets' Nest,Stieg Larsson,2009,none,2009,
65,The Golden Compass,Philip Pullman,1995,2007,1995,
68,The Green Mile,Stephen King,1996,1999,1996,
69,Harry Potter and the Sorcerer's Stone,J. K. Rowling,1997,2001,1997,
70,Harry Potter and the Chamber of Secrets,J. K. Rowling,1998,2002,1998,
71,Harry Potter and the Prisoner of Azkaban,J. K. Rowling,1999,2004,1999,
72,Harry Potter and the Goblet of Fire,J. K. Rowling,2000,2005,2000,
73,Harry Potter and the Order of the Phoenix,J. K. Rowling,2003,2007,2003,
74,Harry Potter and the Half-Blood Prince,J. K. Rowling,2005,2009,2005,
75,Harry Potter and the Deathly Hallows: Part 1,J. K. Rowling,2007,2010,2007,
76,Harry Potter and the Deathly Hallows: Part 2,J. K. Rowling,2007,2011,2007,
77,The Help,Kathryn Stockett,2009,2011,2009,
78,Extremely Loud & Incredibly Close,Jonathan Safran Foer,2005,2011,2005,
79,One Day,David Nicholls,2009,2011,2009,
80,Forrest Gump,Winston Groom,1986,1994,none,
81,Lord of the Flies,William Golding,2010,1990,none,
82,My Sister's Keeper,Jodi Picoult.,2004,2009,2004,
83,Twilight,Stephenie Meyer,2005,2008,2005,
