,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
0,HAPPY PLACE,Emily Henry,9780593441275,2023-04-29,2023-05-03 22:05:33,Berkley,1
1,SIMPLY LIES,David Baldacci,9781538750636,2023-04-29,2023-05-03 22:05:33,Grand Central,2
2,IT ENDS WITH US,Colleen Hoover,9781501110368,2023-04-29,2023-05-03 22:05:33,Atria,98
3,THE LAST THING HE TOLD ME,Laura Dave,9781501171352,2023-04-29,2023-05-03 22:05:33,Marysue Rucci,42
4,LESSONS IN CHEMISTRY,Bonnie Garmus,9780385547345,2023-04-29,2023-05-03 22:05:33,Doubleday,25
5,IT STARTS WITH US,Colleen Hoover,9781668001226,2023-04-29,2023-05-03 22:05:33,Atria,28
6,SMALL MERCIES,Dennis Lehane,9780062129505,2023-04-29,2023-05-03 22:05:33,Harper,1
7,VERITY,Colleen Hoover,9781538724736,2023-04-29,2023-05-03 22:05:33,Grand Central,73
8,HELLO BEAUTIFUL,Ann Napolitano,9780593243732,2023-04-29,2023-05-03 22:05:33,Dial,7
9,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933,2023-04-29,2023-05-03 22:05:33,Washington Square/Atria,95
10,THE WAY OF THE BEAR,Anne Hillerman,9780062908414,2023-04-29,2023-05-03 22:05:33,Harper,1
11,IN THE LIVES OF PUPPETS,T.J. Klune,9781250217448,2023-04-29,2023-05-03 22:05:34,Tor,1
12,NEVER NEVER,Colleen Hoover and Tarryn Fisher,9781335004888,2023-04-29,2023-05-03 22:05:34,Canary Street,9
13,DAISY JONES & THE SIX,Taylor Jenkins Reid,9781524798642,2023-04-29,2023-05-03 22:05:34,Ballantine,17
14,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,9780593321201,2023-04-29,2023-05-03 22:05:34,Knopf,20
15,THE WAGER,David Grann,9780385534260,2023-04-29,2023-05-03 22:05:34,Doubleday,2
16,OUTLIVE,Peter Attia with Bill Gifford,9780593236598,2023-04-29,2023-05-03 22:05:34,Harmony,5
17,THE LIGHT WE CARRY,Michelle Obama,9780593237465,2023-04-29,2023-05-03 22:05:34,Crown,23
18,GREENLIGHTS,Matthew McConaughey,9780593139134,2023-04-29,2023-05-03 22:05:34,Crown,73
19,THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780143127741,2023-04-29,2023-05-03 22:05:34,Penguin,140
20,CRYING IN H MART,Michelle Zauner,9781984898951,2023-04-29,2023-05-03 22:05:34,Vintage,58
21,YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270428,2023-04-29,2023-05-03 22:05:34,Broadside,2
22,DON'T TELL ANYBODY THE SECRETS I TOLD YOU,Lucinda Williams,9780593136492,2023-04-29,2023-05-03 22:05:34,Crown,1
23,I'M GLAD MY MOM DIED,Jennette McCurdy,9781982185824,2023-04-29,2023-05-03 22:05:34,Simon & Schuster,38
24,SPARE,Prince Harry,9780593593806,2023-04-29,2023-05-03 22:05:34,Random House,16
25,KILLERS OF THE FLOWER MOON,David Grann,9780307742483,2023-04-29,2023-05-03 22:05:34,Doubleday,74
26,"POVERTY, BY AMERICA",Matthew Desmond,9780593239919,2023-04-29,2023-05-03 22:05:34,Crown,6
27,"HONEY, BABY, MINE",Laura Dern and Diane Ladd,9781538720370,2023-04-29,2023-05-03 22:05:34,Grand Central,1
28,A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268,2023-04-29,2023-05-03 22:05:35,Viking,3
29,PROJECT 562,Matika Wilbur,9781984859525,2023-04-29,2023-05-03 22:05:35,Ten Speed,1
30,HAPPY PLACE,Emily Henry,9780593441275,2023-04-29,2023-05-03 22:05:26,Berkley,1
31,SIMPLY LIES,David Baldacci,9781538750636,2023-04-29,2023-05-03 22:05:26,Grand Central,2
32,LESSONS IN CHEMISTRY,Bonnie Garmus,9780385547345,2023-04-29,2023-05-03 22:05:27,Doubleday,51
33,IN THE LIVES OF PUPPETS,T.J. Klune,9781250217448,2023-04-29,2023-05-03 22:05:27,Tor,1
34,SMALL MERCIES,Dennis Lehane,9780062129482,2023-04-29,2023-05-03 22:05:27,Harper,1
35,HELLO BEAUTIFUL,Ann Napolitano,9780593243732,2023-04-29,2023-05-03 22:05:27,Dial,7
36,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,9780593321201,2023-04-29,2023-05-03 22:05:27,Knopf,31
37,HANG THE MOON,Jeannette Walls,9781501117299,2023-04-29,2023-05-03 22:05:27,Scribner,5
38,THE WAY OF THE BEAR,Anne Hillerman,9780062908391,2023-04-29,2023-05-03 22:05:27,Harper,1
39,IT ENDS WITH US,Colleen Hoover,9781668021040,2023-04-29,2023-05-03 22:05:27,Atria,2
40,DARK ANGEL,John Sandford,9780593422410,2023-04-29,2023-05-03 22:05:27,Putnam,3
41,ROMANTIC COMEDY,Curtis Sittenfeld,9780399590948,2023-04-29,2023-05-03 22:05:27,Random House,4
42,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,9780063204157,2023-04-29,2023-05-03 22:05:27,Ecco,15
43,YOU SHOULDN'T HAVE COME HERE,Jeneva Rose,9798212182805,2023-04-29,2023-05-03 22:05:27,Blackstone,1
44,NIGHT ANGEL NEMESIS,Brent Weeks,9780316554909,2023-04-29,2023-05-03 22:05:27,Orbit,1
45,THE WAGER,David Grann,9780385534260,2023-04-29,2023-05-03 22:05:30,Doubleday,2
46,THE LIGHT WE CARRY,Michelle Obama,9780593237465,2023-04-29,2023-05-03 22:05:30,Crown,24
47,OUTLIVE,Peter Attia with Bill Gifford,9780593236598,2023-04-29,2023-05-03 22:05:30,Harmony,5
48,GREENLIGHTS,Matthew McConaughey,9780593139134,2023-04-29,2023-05-03 22:05:30,Crown,91
49,DON'T TELL ANYBODY THE SECRETS I TOLD YOU,Lucinda Williams,9780593136492,2023-04-29,2023-05-03 22:05:30,Crown,1
50,YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270428,2023-04-29,2023-05-03 22:05:30,Broadside,2
51,I'M GLAD MY MOM DIED,Jennette McCurdy,9781982185824,2023-04-29,2023-05-03 22:05:30,Simon & Schuster,38
52,SPARE,Prince Harry,9780593593806,2023-04-29,2023-05-03 22:05:30,Random House,16
53,"HONEY, BABY, MINE",Laura Dern and Diane Ladd,9781538720370,2023-04-29,2023-05-03 22:05:30,Grand Central,1
54,"POVERTY, BY AMERICA",Matthew Desmond,9780593239919,2023-04-29,2023-05-03 22:05:30,Crown,6
55,PROJECT 562,Matika Wilbur,9781984859525,2023-04-29,2023-05-03 22:05:31,Ten Speed,1
56,A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268,2023-04-29,2023-05-03 22:05:31,Viking,3
57,FAT TALK,Virginia Sole-Smith,9781250831217,2023-04-29,2023-05-03 22:05:31,Holt,1
58,YOU COULD MAKE THIS PLACE BEAUTIFUL,Maggie Smith,9781982185855,2023-04-29,2023-05-03 22:05:31,Atria/One Signal,3
59,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250223180,2023-04-29,2023-05-03 22:05:31,Flatiron,51
60,THE LAST THING HE TOLD ME,Laura Dave,9781501171352,2023-04-29,2023-05-03 22:05:29,Marysue Rucci,6
61,IT ENDS WITH US,Colleen Hoover,9781501110368,2023-04-29,2023-05-03 22:05:29,Atria,104
62,IT STARTS WITH US,Colleen Hoover,9781668001226,2023-04-29,2023-05-03 22:05:29,Atria,28
63,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933,2023-04-29,2023-05-03 22:05:29,Washington Square/Atria,112
64,VERITY,Colleen Hoover,9781538724736,2023-04-29,2023-05-03 22:05:29,Grand Central,90
65,NEVER NEVER,Colleen Hoover and Tarryn Fisher,9781335004888,2023-04-29,2023-05-03 22:05:29,Canary Street,9
66,UGLY LOVE,Colleen Hoover,9781476753188,2023-04-29,2023-05-03 22:05:29,Atria,92
67,DAISY JONES & THE SIX,Taylor Jenkins Reid,9781524798642,2023-04-29,2023-05-03 22:05:29,Ballantine,24
68,KING OF WRATH,Ana Huang,9781728289724,2023-04-29,2023-05-03 22:05:30,Bloom,1
69,HEART BONES,Colleen Hoover,9781668021910,2023-04-29,2023-05-03 22:05:30,Atria,13
70,THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,9780765387578,2023-04-29,2023-05-03 22:05:30,Tor,3
71,THINGS WE NEVER GOT OVER,Lucy Score,9781945631832,2023-04-29,2023-05-03 22:05:30,Bloom,30
72,ICEBREAKER,Hannah Grace,9781668026038,2023-04-29,2023-05-03 22:05:30,Atria,11
73,THE HOUSEMAID,Freida McFadden,9781538742570,2023-04-29,2023-05-03 22:05:30,Grand Central,1
74,THE SILENT PATIENT,Alex Michaelides,9781250301703,2023-04-29,2023-05-03 22:05:30,Celadon,89
75,THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780143127741,2023-04-29,2023-05-03 22:05:31,Penguin,236
76,CRYING IN H MART,Michelle Zauner,9781984898951,2023-04-29,2023-05-03 22:05:31,Vintage,5
77,KILLERS OF THE FLOWER MOON,David Grann,9780307742483,2023-04-29,2023-05-03 22:05:32,Vintage,113
78,THE ESCAPE ARTIST,Jonathan Freedland,9780063112360,2023-04-29,2023-05-03 22:05:32,Harper,1
79,BRAIDING SWEETGRASS,Robin Wall Kimmerer,9781571313560,2023-04-29,2023-05-03 22:05:32,Milkweed Editions,159
80,ALL ABOUT LOVE,bell hooks,9780060959470,2023-04-29,2023-05-03 22:05:32,Morrow,73
81,FINDING ME,Viola Davis,9780063037366,2023-04-29,2023-05-03 22:05:32,HarperOne,4
82,EDUCATED,Tara Westover,9780399590528,2023-04-29,2023-05-03 22:05:32,Random House,47
83,"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557,2023-04-29,2023-05-03 22:05:32,"Farrar, Straus & Giroux",360
84,THE DAWN OF EVERYTHING,David Graeber and David Wengrow,9781250858801,2023-04-29,2023-05-03 22:05:32,Picador,4
85,THE GLASS CASTLE,Jeannette Walls,9780743247542,2023-04-29,2023-05-03 22:05:32,Scribner,466
86,TALKING TO STRANGERS,Malcolm Gladwell,9780316299220,2023-04-29,2023-05-03 22:05:32,Back Bay,83
87,BEING MORTAL,Atul Gawande,9781250076229,2023-04-29,2023-05-03 22:05:32,Metropolitan,129
88,THE ANTHROPOCENE REVIEWED,John Green,9780525555247,2023-04-29,2023-05-03 22:05:32,Dutton,6
89,GRIT,Angela Duckworth,9781501111112,2023-04-29,2023-05-03 22:05:32,Scribner,145
90,ATOMIC HABITS,James Clear,9780735211292,2023-04-29,2023-05-03 22:05:31,Avery,179
91,THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886,2023-04-29,2023-05-03 22:05:31,Penguin Press,15
92,Y'ALL EAT YET?,Miranda Lambert with Holly Gleason,9780063087781,2023-04-29,2023-05-03 22:05:31,Dey Street,1
93,COMEDY BANG! BANG! THE PODCAST,edited  Scott Aukerman,9781419754814,2023-04-29,2023-05-03 22:05:31,Abrams Image,1
94,SOUL BOOM,Rainn Wilson,9780306828270,2023-04-29,2023-05-03 22:05:31,Hachette Go,1
95,THE WISDOM OF THE BULLFROG,William H. McRaven,9781538707944,2023-04-29,2023-05-03 22:05:31,Grand Central,4
96,"THE BOY, THE MOLE, THE FOX AND THE HORSE",Charlie Mackesy,9780062976581,2023-04-29,2023-05-03 22:05:31,HarperOne,178
97,LOVE AND LEMONS SIMPLE FEEL GOOD FOOD,Jeanine Donofrio with Phoebe Moore,9780593419106,2023-04-29,2023-05-03 22:05:31,Avery,1
98,TASTING HISTORY,Max Miller with Ann Volkwein,9781982186180,2023-04-29,2023-05-03 22:05:31,Simon Element,2
99,THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,9780062457714,2023-04-29,2023-05-03 22:05:31,Harper,294
100,WONDER,R.J. Palacio,9780375869020,2023-04-29,2023-05-03 22:05:28,Knopf,394
101,REFUGEE,Alan Gratz,9780545880831,2023-04-29,2023-05-03 22:05:28,Scholastic,218
102,NIC BLAKE AND THE REMARKABLES,Angie Thomas,9780063225138,2023-04-29,2023-05-03 22:05:28,Balzer + Bray,4
103,ODDER,Katherine Applegate.,9781250147424,2023-04-29,2023-05-03 22:05:28,Feiwel & Friends,32
104,BIG TREE,Brian Selznick,9781338180633,2023-04-29,2023-05-03 22:05:28,Scholastic,4
105,THE COMPLETE COOKBOOK FOR YOUNG CHEFS,America's Test Kitchen Kids,9781492670025,2023-04-29,2023-05-03 22:05:28,Sourcebooks Jabberwocky,151
