,movie_title,year,length,movie_genre,movie_rating,star_rating,gross_amount
0,127 Hours,2010,94 min,"Biography, Drama",R,7.5,"18,335,230"
1,100 Rifles,1969,110 min,"Adventure, Drama, War",R,6,N/A
2,The Hunger Games,2012,142 min,"Action, Adventure, Sci-Fi",PG-13,7.2,"408,010,692"
3,The Hunger Games: Catching Fire,2013,146 min,"Action, Adventure, Sci-Fi",PG-13,7.5,"424,668,047"
4,A Beautiful Mind,2001,135 min,"Biography, Drama",PG-13,8.2,"170,742,341"
5,A Civil Action,1998,115 min,Drama,PG-13,6.6,"56,702,901"
6,A Clockwork Orange,1971,136 min,"Crime, Sci-Fi",R,8.3,"6,207,725"
7,A Good Year,2006,117 min,"Comedy, Drama, Romance",PG-13,6.9,"7,458,269"
8,A Little Romance,1979,110 min,"Adventure, Comedy, Romance",PG,7.4,N/A
9,A Room with a View,1985,117 min,"Drama, Romance",Not Rated,7.2,"20,966,644"
10,A Walk to Remember,2002,101 min,"Drama, Romance",PG,7.3,"41,281,092"
11,About a Boy,2002,101 min,"Comedy, Drama, Romance",PG-13,7.1,"41,385,278"
12,All That Heaven Allows,1955,89 min,"Drama, Music, Romance",Passed,7.6,N/A
13,All the Pretty Horses,2000,116 min,"Drama, Romance, Western",PG-13,5.8,"15,527,125"
14,Message in a Bottle,1999,126 min,"Drama, Romance",PG-13,6.2,"52,880,016"
15,The Lucky One,2012,101 min,"Drama, Mystery, Romance",PG-13,6.4,"60,457,138"
16,Dear John,2010,108 min,"Drama, Mystery, Romance",PG-13,6.3,"80,014,842"
17,The Last Song,2010,107 min,"Drama, Music, Romance",PG,6,"62,950,384"
18,The Notebook,2004,123 min,"Drama, Romance",PG-13,7.8,"81,001,787"
19,Nights in Rodanthe,2008,97 min,"Drama, Romance",PG-13,6,"41,850,659"
20,Angels & Demons,2009,138 min,"Action, Mystery, Thriller",PG-13,6.7,"133,375,846"
21,The Da Vinci Code,2006,149 min,"Mystery, Thriller",PG-13,6.6,"217,536,138"
22,The Girl with the Dragon Tattoo,2011,158 min,"Crime, Drama, Mystery",R,7.8,"102,515,793"
23,The Girl with the Dragon Tattoo,2009,152 min,"Crime, Drama, Mystery",R,7.8,"10,095,170"
24,The Girl Who Played with Fire,2009,129 min,"Action, Crime, Drama",R,7.1,"9,081,782"
25,The Golden Compass,2007,113 min,"Adventure, Family, Fantasy",PG-13,6.1,"70,107,728"
26,Evil,2003,113 min,Drama,Not Rated,7.7,"15,280"
27,The Girl Who Kicked the Hornet's Nest,2009,147 min,"Crime, Drama, Thriller",R,7.3,"5,427,684"
28,The Green Mile,1999,189 min,"Crime, Drama, Fantasy",R,8.6,"136,801,374"
29,Harry Potter and the Sorcerer's Stone,2001,152 min,"Adventure, Family, Fantasy",PG,7.6,"317,575,550"
30,Harry Potter and the Chamber of Secrets,2002,161 min,"Adventure, Family, Fantasy",PG,7.4,"261,988,482"
31,Harry Potter and the Goblet of Fire,2005,157 min,"Adventure, Family, Fantasy",PG-13,7.7,"290,013,036"
32,Harry Potter and the Prisoner of Azkaban,2004,142 min,"Adventure, Family, Fantasy",PG,7.9,"249,358,727"
33,Harry Potter and the Deathly Hallows: Part 2,2011,130 min,"Adventure, Family, Fantasy",PG-13,8.1,"381,011,219"
34,Harry Potter and the Order of the Phoenix,2007,138 min,"Action, Adventure, Family",PG-13,7.5,"292,004,738"
35,Harry Potter and the Deathly Hallows: Part 1,2010,146 min,"Adventure, Family, Fantasy",PG-13,7.7,"295,983,305"
36,Harry Potter and the Half-Blood Prince,2009,153 min,"Action, Adventure, Family",PG,7.6,"301,959,197"
