movie_title,year,length,genre,stars, gross ,rating_NA,rating_Not Rated,rating_PG,rating_PG_13,rating_Passed,rating_R,rating_TV_PG,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci_Fi,Sport,Thriller,War,Western
127 Hours,2010,94,"['Biography', 'Drama']",7.5,"$18,335,230.00 ",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
100 Rifles,1969,110,"['Adventure', 'Drama', 'War']",6, N/A ,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
The Hunger Games,2012,142,"['Action', 'Adventure', 'Sci-Fi']",7.2,"$408,010,692.00 ",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
The Hunger Games: Catching Fire,2013,146,"['Action', 'Adventure', 'Sci-Fi']",7.5,"$424,668,047.00 ",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Beautiful Mind,2001,135,"['Biography', 'Drama']",8.2,"$170,742,341.00 ",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Civil Action,1998,115,['Drama'],6.6,"$56,702,901.00 ",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
A Clockwork Orange,1971,136,"['Crime', 'Sci-Fi']",8.3,"$6,207,725.00 ",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
A Good Year,2006,117,"['Comedy', 'Drama', 'Romance']",6.9,"$7,458,269.00 ",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A Little Romance,1979,110,"['Adventure', 'Comedy', 'Romance']",7.4, N/A ,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
A Room with a View,1985,117,"['Drama', 'Romance']",7.2,"$20,966,644.00 ",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
A Walk to Remember,2002,101,"['Drama', 'Romance']",7.3,"$41,281,092.00 ",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
About a Boy,2002,101,"['Comedy', 'Drama', 'Romance']",7.1,"$41,385,278.00 ",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
All That Heaven Allows,1955,89,"['Drama', 'Music', 'Romance']",7.6, N/A ,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
