,Title,Author,Book_Published,Movie_Released,Bestseller_List, imdb gross sales 
0,The Invention of Hugo Cabret,Brian Selznick,2007,2011,2007," $185,000,000.00 "
1,My Abandonment,Peter Rock,2009,2018,," $7,000,000.00 "
2,The Help,Kathryn Stockett,2009,2011,2009," $169,708,112.00 "
3,The Cider House Rules,John Irving,1985,1999,1985," $88,000,000.00 "
4,David Copperfield,Charles Dickens,1850,2019,none," $15,000,000.00 "
5,Charlie and the Chocolate Factory,Roald Dahl,1964,2005,2000," $345,000,000.00 "
6,One Flew Over The Cuckoo’s Nest ,Ken Kesey,1963,1975,1962," $163,000,000.00 "
7,The Orchid Thief: A True Story of Beauty and Obsession,Susan Orlean,1998,2002,1998," $32,000,000.00 "
8,Jurassic Park,Michael Crichton,1990,1993,1990," $1,000,000,000.00 "
9,The Hate U Give,Angie Thomas,2017,2018,2017," $34,000,000.00 "
10,Dune,Frank Herbert,1965,2021,1965," $30,000,000.00 "
11,The Shining,Stephen King,1977,1980,1977," $44,000,000.00 "
12,High Fidelity,Nick Hornby,1995,2000,1995," $47,000,000.00 "
13,The Lord of the Rings series,J.R.R. Tolkien,1955,2000,none," $2,900,000.00 "
14,The Chronicles of Narnia,C.S. Lewis,1956,2005,none," $1,579,000,000.00 "
15,If Beale Street Could Talk,James Baldwin,1974,2018,1974," $20,000,000.00 "
16,The Godfather,Mario Puzo,1969,1972,1969," $600,000,000.00 "
17,The Glass Castle,Jeannette Walls,2005,2017,2005," $22,000,000.00 "
18,To Kill a Mockingbird,Harper Lee,1960,1962,1960," $13,000,000.00 "
19,The Princess Bride: S. Morgensternâ€™s Classic Tale of True Love & High Adventure,William Goldman,1973,1987,none," $30,000,000.00 "
20,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,2014,2012," $52,000,000.00 "
21,Atonement,Ian McEwan,2003,2007,2001," $50,927,067.00 "
22,Life of Pi,Yann Martel,2001,2012,2001," $609,000,000.00 "
23,Push,Sapphire,1996,2009,1996," $63,000,000.00 "
24,12 Years A Slave,Solomon Northup,1853,2013,none," $187,000,000.00 "
