,Book title,Author,ISBN,Bestseller_Date,Created_Date,Publisher,Weeks_on_List
0,HAPPY PLACE,Emily Henry,9780593441275,4/29/2023,5/3/2023 22:05,Berkley,1
1,SIMPLY LIES,David Baldacci,9781538750636,4/29/2023,5/3/2023 22:05,Grand Central,2
2,IT ENDS WITH US,Colleen Hoover,9781501110368,4/29/2023,5/3/2023 22:05,Atria,98
3,THE LAST THING HE TOLD ME,Laura Dave,9781501171352,4/29/2023,5/3/2023 22:05,Marysue Rucci,42
4,LESSONS IN CHEMISTRY,Bonnie Garmus,9780385547345,4/29/2023,5/3/2023 22:05,Doubleday,25
5,IT STARTS WITH US,Colleen Hoover,9781668001226,4/29/2023,5/3/2023 22:05,Atria,28
6,SMALL MERCIES,Dennis Lehane,9780062129505,4/29/2023,5/3/2023 22:05,Harper,1
7,VERITY,Colleen Hoover,9781538724736,4/29/2023,5/3/2023 22:05,Grand Central,73
8,HELLO BEAUTIFUL,Ann Napolitano,9780593243732,4/29/2023,5/3/2023 22:05,Dial,7
9,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933,4/29/2023,5/3/2023 22:05,Washington Square/Atria,95
10,THE WAY OF THE BEAR,Anne Hillerman,9780062908414,4/29/2023,5/3/2023 22:05,Harper,1
11,IN THE LIVES OF PUPPETS,T.J. Klune,9781250217448,4/29/2023,5/3/2023 22:05,Tor,1
12,NEVER NEVER,Colleen Hoover and Tarryn Fisher,9781335004888,4/29/2023,5/3/2023 22:05,Canary Street,9
13,DAISY JONES & THE SIX,Taylor Jenkins Reid,9781524798642,4/29/2023,5/3/2023 22:05,Ballantine,17
14,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,9780593321201,4/29/2023,5/3/2023 22:05,Knopf,20
15,THE WAGER,David Grann,9780385534260,4/29/2023,5/3/2023 22:05,Doubleday,2
16,OUTLIVE,Peter Attia with Bill Gifford,9780593236598,4/29/2023,5/3/2023 22:05,Harmony,5
17,THE LIGHT WE CARRY,Michelle Obama,9780593237465,4/29/2023,5/3/2023 22:05,Crown,23
18,GREENLIGHTS,Matthew McConaughey,9780593139134,4/29/2023,5/3/2023 22:05,Crown,73
19,THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780143127741,4/29/2023,5/3/2023 22:05,Penguin,140
20,CRYING IN H MART,Michelle Zauner,9781984898951,4/29/2023,5/3/2023 22:05,Vintage,58
21,YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270428,4/29/2023,5/3/2023 22:05,Broadside,2
22,DON'T TELL ANYBODY THE SECRETS I TOLD YOU,Lucinda Williams,9780593136492,4/29/2023,5/3/2023 22:05,Crown,1
23,I'M GLAD MY MOM DIED,Jennette McCurdy,9781982185824,4/29/2023,5/3/2023 22:05,Simon & Schuster,38
24,SPARE,Prince Harry,9780593593806,4/29/2023,5/3/2023 22:05,Random House,16
25,KILLERS OF THE FLOWER MOON,David Grann,9780307742483,4/29/2023,5/3/2023 22:05,Doubleday,74
26,"POVERTY, BY AMERICA",Matthew Desmond,9780593239919,4/29/2023,5/3/2023 22:05,Crown,6
27,"HONEY, BABY, MINE",Laura Dern and Diane Ladd,9781538720370,4/29/2023,5/3/2023 22:05,Grand Central,1
28,A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268,4/29/2023,5/3/2023 22:05,Viking,3
29,PROJECT 562,Matika Wilbur,9781984859525,4/29/2023,5/3/2023 22:05,Ten Speed,1
30,HAPPY PLACE,Emily Henry,9780593441275,4/29/2023,5/3/2023 22:05,Berkley,1
31,SIMPLY LIES,David Baldacci,9781538750636,4/29/2023,5/3/2023 22:05,Grand Central,2
32,LESSONS IN CHEMISTRY,Bonnie Garmus,9780385547345,4/29/2023,5/3/2023 22:05,Doubleday,51
33,IN THE LIVES OF PUPPETS,T.J. Klune,9781250217448,4/29/2023,5/3/2023 22:05,Tor,1
34,SMALL MERCIES,Dennis Lehane,9780062129482,4/29/2023,5/3/2023 22:05,Harper,1
35,HELLO BEAUTIFUL,Ann Napolitano,9780593243732,4/29/2023,5/3/2023 22:05,Dial,7
36,"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,9780593321201,4/29/2023,5/3/2023 22:05,Knopf,31
37,HANG THE MOON,Jeannette Walls,9781501117299,4/29/2023,5/3/2023 22:05,Scribner,5
38,THE WAY OF THE BEAR,Anne Hillerman,9780062908391,4/29/2023,5/3/2023 22:05,Harper,1
39,IT ENDS WITH US,Colleen Hoover,9781668021040,4/29/2023,5/3/2023 22:05,Atria,2
40,DARK ANGEL,John Sandford,9780593422410,4/29/2023,5/3/2023 22:05,Putnam,3
41,ROMANTIC COMEDY,Curtis Sittenfeld,9780399590948,4/29/2023,5/3/2023 22:05,Random House,4
42,REMARKABLY BRIGHT CREATURES,Shel Van Pelt,9780063204157,4/29/2023,5/3/2023 22:05,Ecco,15
43,YOU SHOULDN'T HAVE COME HERE,Jeneva Rose,9798212182805,4/29/2023,5/3/2023 22:05,Blackstone,1
44,NIGHT ANGEL NEMESIS,Brent Weeks,9780316554909,4/29/2023,5/3/2023 22:05,Orbit,1
45,THE WAGER,David Grann,9780385534260,4/29/2023,5/3/2023 22:05,Doubleday,2
46,THE LIGHT WE CARRY,Michelle Obama,9780593237465,4/29/2023,5/3/2023 22:05,Crown,24
47,OUTLIVE,Peter Attia with Bill Gifford,9780593236598,4/29/2023,5/3/2023 22:05,Harmony,5
48,GREENLIGHTS,Matthew McConaughey,9780593139134,4/29/2023,5/3/2023 22:05,Crown,91
49,DON'T TELL ANYBODY THE SECRETS I TOLD YOU,Lucinda Williams,9780593136492,4/29/2023,5/3/2023 22:05,Crown,1
50,YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270428,4/29/2023,5/3/2023 22:05,Broadside,2
51,I'M GLAD MY MOM DIED,Jennette McCurdy,9781982185824,4/29/2023,5/3/2023 22:05,Simon & Schuster,38
52,SPARE,Prince Harry,9780593593806,4/29/2023,5/3/2023 22:05,Random House,16
53,"HONEY, BABY, MINE",Laura Dern and Diane Ladd,9781538720370,4/29/2023,5/3/2023 22:05,Grand Central,1
54,"POVERTY, BY AMERICA",Matthew Desmond,9780593239919,4/29/2023,5/3/2023 22:05,Crown,6
55,PROJECT 562,Matika Wilbur,9781984859525,4/29/2023,5/3/2023 22:05,Ten Speed,1
56,A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268,4/29/2023,5/3/2023 22:05,Viking,3
57,FAT TALK,Virginia Sole-Smith,9781250831217,4/29/2023,5/3/2023 22:05,Holt,1
58,YOU COULD MAKE THIS PLACE BEAUTIFUL,Maggie Smith,9781982185855,4/29/2023,5/3/2023 22:05,Atria/One Signal,3
59,WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250223180,4/29/2023,5/3/2023 22:05,Flatiron,51
60,THE LAST THING HE TOLD ME,Laura Dave,9781501171352,4/29/2023,5/3/2023 22:05,Marysue Rucci,6
61,IT ENDS WITH US,Colleen Hoover,9781501110368,4/29/2023,5/3/2023 22:05,Atria,104
62,IT STARTS WITH US,Colleen Hoover,9781668001226,4/29/2023,5/3/2023 22:05,Atria,28
63,THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933,4/29/2023,5/3/2023 22:05,Washington Square/Atria,112
64,VERITY,Colleen Hoover,9781538724736,4/29/2023,5/3/2023 22:05,Grand Central,90
