title,author,weeks_on_list,publication_date,average_rating,publisher
Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,,9/16/2006,4.57,Scholastic Inc.
Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,,9/1/2004,4.49,Scholastic Inc.
Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,,11/1/2003,4.42,Scholastic
Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,,5/1/2004,4.56,Scholastic Inc.
Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,,9/13/2004,4.78,Scholastic
Unauthorized Harry Potter Book Seven News: Half-Blood Prince Analysis and Speculation,W. Frederick Zimmerman,,4/26/2005,3.74,Nimble Books
Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,,9/12/2005,4.73,Scholastic
The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,11/1/2005,4.38,Gramercy Books
The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,4/30/2002,4.38,Del Rey Books
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,,8/3/2004,4.22,Crown
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,,3/23/2005,4.22,Random House Audio
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,,1/17/1996,4.38,Wings Books
A Short History of Nearly Everything,Bill Bryson,,9/14/2004,4.21,Broadway Books
Bill Bryson's African Diary,Bill Bryson,,12/3/2002,3.44,Broadway Books
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,,9/14/2004,3.87,Broadway Books
In a Sunburned Country,Bill Bryson,,5/15/2001,4.07,Broadway Books
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,,6/28/2000,3.9,Broadway Books
The Lost Continent: Travels in Small Town America,Bill Bryson,,8/28/1990,3.83,William Morrow Paperbacks
Neither Here nor There: Travels in Europe,Bill Bryson,,3/28/1993,3.86,William Morrow Paperbacks
Notes from a Small Island,Bill Bryson,,5/28/1997,3.91,William Morrow Paperbacks
The Mother Tongue: English and How It Got That Way,Bill Bryson,,9/28/1991,3.93,William Morrow Paperbacks
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,,9/25/2012,4.59,Ballantine Books
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,,10/21/2004,4.5,Houghton Mifflin Harcourt
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,,9/5/2003,4.36,Houghton Mifflin Harcourt
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,,10/1/2002,4.5,Houghton Mifflin Harcourt
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,,11/5/2003,4.53,Houghton Mifflin Harcourt
The Lord of the Rings: Complete Visual Companion,Jude Fisher,,11/15/2004,4.5,Houghton Mifflin Harcourt
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,,7/28/2005,3.84,Pragmatic Bookshelf
Hatchet (Brian's Saga  #1),Gary Paulsen,,4/1/2000,3.72,Atheneum Books for Young Readers: Richard Jackson Books
Hatchet: A Guide for Using Hatchet in the Classroom,Donna Ickes/Edward Sciranko/Keith Vasconcelles,,8/28/1994,4,Teacher Created Resources
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,,1/23/2001,3.88,Delacorte Press
Molly Hatchet - 5 of the Best,Molly Hatchet,,6/10/2003,4.33,Cherry Lane Music Company
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,,11/1/2005,3.45,The New Press
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,,11/1/2005,3.76,Changeling Press
Changeling (Changeling  #1),Delia Sherman,,8/17/2006,3.6,Viking Juvenile
The Changeling Sea,Patricia A. McKillip,,4/14/2003,4.06,Firebird
The Changeling,Zilpha Keatley Snyder,,6/8/2004,4.17,iUniverse
The Changeling,Kate Horsley,,4/12/2005,3.55,Shambhala
The Changeling (Daughters of England  #15),Philippa Carr,,8/28/1990,3.98,Ivy Books
The Known World,Edward P. Jones,,8/29/2006,3.83,Amistad
The Known World,Edward P. Jones/Kevin R. Free,,6/15/2004,3.83,HarperAudio
The Known World,Edward P. Jones,,6/15/2004,3.83,Harper
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,,5/15/2006,3.83,FT Press
Artesia: Adventures in the Known World,Mark Smylie,,12/14/2005,4.13,Archaia
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,,6/1/1982,4.42,Farrar  Straus and Giroux
Uncommon Carriers,John McPhee,,5/16/2006,3.95,Farrar Straus Giroux
Heirs of General Practice,John McPhee,,4/1/1986,4.17,Farrar  Straus and Giroux
The Control of Nature,John McPhee,,9/1/1990,4.24,Farrar  Straus and Giroux
Annals of the Former World,John McPhee,,1/6/1999,4.34,Farrar  Straus and Giroux
Coming Into the Country,John McPhee,,4/1/1991,4.22,Farrar  Straus and Giroux
La Place de la Concorde Suisse,John McPhee,,4/1/1994,3.92,Farrar  Straus and Giroux
Giving Good Weight,John McPhee,,4/1/1994,4.23,Farrar  Straus and Giroux
Rising from the Plains,John McPhee,,11/1/1987,4.23,Farrar  Straus and Giroux
The Heidi Chronicles,Wendy Wasserstein,,3/1/2002,3.75,Dramatists Play Service
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,,7/2/1991,3.84,Vintage
Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,,3/29/2006,3.94,Routledge
Simply Beautiful Beaded Jewelry,Heidi Boyd,,3/14/2006,3.77,North Light Books
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,,9/1/2003,4.46,Chosen Books
Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,,1/28/1997,3.68,Association for Supervision & Curriculum Development
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,,11/15/2002,3.99,Kingfisher
Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,,11/15/2004,3.25,ASCD
There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,,4/28/2003,4.46,Sovereign World
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,,10/16/2003,3.89,Workman Publishing Company
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,,5/10/2004,3.82,One Hour Entertainment
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,,8/19/2004,3.78,North Light Books
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,,6/15/1987,3.84,Ace Books
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,,7/1/1987,3.91,Ace Books
Dune Messiah (Dune Chronicles #2),Frank Herbert,,7/15/1987,3.88,Ace Books
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,,7/1/2004,4.01,Tor Books
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,,4/16/1984,3.86,Putnam
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,,8/29/2006,3.88,Tor Science Fiction
Heretics of Dune (Dune Chronicles #5),Frank Herbert,,8/15/1987,3.86,Ace Books
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,,6/12/2002,4.59,Houghton Mifflin Harcourt
The Power of One (The Power of One  #1),Bryce Courtenay,,9/29/1996,4.35,Ballantine Books
The Power of One (The Power of One  #1),Bryce Courtenay,,9/13/2005,4.35,Delacorte Books for Young Readers
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,,11/1/2004,4.28,Thomas Nelson
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,,5/19/2006,3.34,Wiley
The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,,2/7/2000,3.67,Heinemann Drama
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,,5/3/2005,3.48,William Morrow Paperbacks
eBay for Dummies,Marsha Collier,,10/30/2006,3.5,Wiley
What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,,1/24/2006,3.62,McGraw-Hill
Starting an eBay Business for Dummies,Marsha Collier,,9/17/2004,3.55,Wiley
eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,,6/6/2006,4.27,Wiley
ebay Timesaving Techniques for Dummies,Marsha Collier,,5/31/2004,3.39,Wiley
eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,,4/25/2005,3.89,Wiley
Ruby Cookbook,Lucas Carlson/Leonard Richardson,,7/29/2006,3.84,O'Reilly Media
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,,5/3/2005,4.12,Citadel
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,,5/3/2005,4.08,Citadel
