,Title,Author,Book_Published,Movie_Released
0,The Invention of Hugo Cabret,Brian Selznick,2007,2011
1,My Abandonment,Peter Rock,2009,2018
2,The Help,Kathryn Stockett,2009,2011
3,The Cider House Rules,John Irving,1985,1999
4,David Copperfield,Charles Dickens,1850,2019
5,Charlie and the Chocolate Factory,Roald Dahl,1964,
6,One Flew Over The Cuckoo’s Nest,Ken Kesey,1963,1975
7,The Orchid Thief: A True Story of Beauty and Obsession,Susan Orlean,1998,2002
8,Jurassic Park,Michael Crichton,1990,1993
9,The Hate U Give,Angie Thomas,2017,2018
10,Dune,Frank Herbert,1965,
11,The Shining,Stephen King,1977,1980
12,High Fidelity,Nick Hornby,1995,2000
13,The Lord of the Rings series,J.R.R. Tolkien,,
14,The Chronicles of Narnia,C.S. Lewis,,
15,If Beale Street Could Talk,James Baldwin,1974,2018
16,The Godfather,Mario Puzo,1969,
17,The Glass Castle,Jeannette Walls,2005,2017
18,To Kill a Mockingbird,Harper Lee,1960,1962
19,The Princess Bride: S. Morgenstern’s Classic Tale of True Love & High Adventure,William Goldman,1973,1987
20,Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,2014
21,Atonement,Ian McEwan,2003,2007
22,Life of Pi,Yann Martel,2001,2012
23,Push,Sapphire,1996,2009
24,12 Years A Slave,Solomon Northup,1853,2013
25,Fight Club,Chuck Palahniuk,1996,1999
26,Crazy Rich Asians,Kevin Kwan,2013,2018
27,Call Me By Your Name,André Aciman,2007,2017
28,Anna Karenina,Leo Tolstoy,1878,2012
29,Brokeback Mountain,Annie Proulx,1997,2005
30,The Color Purple,Alice Walker,1982,1985
31,The BFG,Roald Dahl,1982,2016
32,The Great Gatsby,F. Scott Fitzgerald,1925,2013
33,The Hours,Michael Cunningham,1998,2002
34,Revolutionary Road,Richard Yates,1961,2008
35,The Lost Child of Philomena Lee,Martin Sixsmith,1955,2013
36,Alice’s Adventures in Wonderland,Lewis Carroll,1865,2010
37,Little Women,Louisa M. Alcott,1868–1869,2019
38,Pride and Prejudice,Jane Austen,1813,1995
39,Pride and Prejudice,Jane Austen,1813,2005
40,The Picture of Dorian Gray,Oscar Wilde,1891,1945
41,The Picture of Dorian Gray,Oscar Wilde,1891,2009
