title,author,book_published,movie_released,isbn
The Invention of Hugo Cabret,Brian Selznick,2007,2011,
My Abandonment,Peter Rock,2009,2018,
The Help,Kathryn Stockett,2009,2011,
The Cider House Rules,John Irving,1985,1999,
David Copperfield,Charles Dickens,1850,2019,
Charlie and the Chocolate Factory,Roald Dahl,1964,,
One Flew Over The Cuckoo’s Nest,Ken Kesey,1963,1975,
The Orchid Thief: A True Story of Beauty and Obsession,Susan Orlean,1998,2002,
Jurassic Park,Michael Crichton,1990,1993,9780345418951
The Hate U Give,Angie Thomas,2017,2018,
Dune,Frank Herbert,1965,,
The Shining,Stephen King,1977,1980,9780450040184
The Shining,Stephen King,1977,1980,9780743437493
The Shining,Stephen King,1977,1980,9781417618255
High Fidelity,Nick Hornby,1995,2000,9781573228213
The Lord of the Rings series,J.R.R. Tolkien,,,
The Chronicles of Narnia,C.S. Lewis,,,
If Beale Street Could Talk,James Baldwin,1974,2018,9780307275936
The Godfather,Mario Puzo,1969,,
The Glass Castle,Jeannette Walls,2005,2017,9780743247542
To Kill a Mockingbird,Harper Lee,1960,1962,9780060935467
To Kill a Mockingbird,Harper Lee,1960,1962,9780061205699
The Princess Bride: S. Morgenstern’s Classic Tale of True Love & High Adventure,William Goldman,1973,1987,
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,2012,2014,
Atonement,Ian McEwan,2003,2007,9780099429791
Life of Pi,Yann Martel,2001,2012,9780156030205
Push,Sapphire,1996,2009,
12 Years A Slave,Solomon Northup,1853,2013,
Fight Club,Chuck Palahniuk,1996,1999,9780393327342
Crazy Rich Asians,Kevin Kwan,2013,2018,
Call Me By Your Name,André Aciman,2007,2017,
Anna Karenina,Leo Tolstoy,1878,2012,
Brokeback Mountain,Annie Proulx,1997,2005,9780743271325
The Color Purple,Alice Walker,1982,1985,9780671727796
The BFG,Roald Dahl,1982,2016,
The Great Gatsby,F. Scott Fitzgerald,1925,2013,9780140620184
The Great Gatsby,F. Scott Fitzgerald,1925,2013,9780891906797
The Hours,Michael Cunningham,1998,2002,
Revolutionary Road,Richard Yates,1961,2008,
The Lost Child of Philomena Lee,Martin Sixsmith,1955,2013,
Alice’s Adventures in Wonderland,Lewis Carroll,1865,2010,
Little Women,Louisa M. Alcott,1868–1869,2019,
Pride and Prejudice,Jane Austen,1813,1995,9780192802385
Pride and Prejudice,Jane Austen,1813,1995,9780708982280
Pride and Prejudice,Jane Austen,1813,2005,9780192802385
Pride and Prejudice,Jane Austen,1813,2005,9780708982280
The Picture of Dorian Gray,Oscar Wilde,1891,1945,9781557424297
The Picture of Dorian Gray,Oscar Wilde,1891,1945,9781420925289
The Picture of Dorian Gray,Oscar Wilde,1891,2009,9781557424297
The Picture of Dorian Gray,Oscar Wilde,1891,2009,9781420925289
