,movie_title,year,movie_length,movie_genre,star_rating,gross_amount,movie_rating_N/A,movie_rating_Not Rated,movie_rating_PG,movie_rating_PG-13,movie_rating_Passed,movie_rating_R,movie_rating_TV-PG,Action,Adventure,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
0,127 Hours,2010,94,"['Biography', 'Drama']",7.5,"18,335,230",0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1,100 Rifles,1969,110,"['Adventure', 'Drama', 'War']",6,"18,335,230",0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2,The Hunger Games,2012,142,"['Action', 'Adventure', 'Sci-Fi']",7.2,"18,335,230",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,The Hunger Games: Catching Fire,2013,146,"['Action', 'Adventure', 'Sci-Fi']",7.5,"18,335,230",0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,A Beautiful Mind,2001,135,"['Biography', 'Drama']",8.2,"18,335,230",0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
5,A Civil Action,1998,115,['Drama'],6.6,"18,335,230",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,A Clockwork Orange,1971,136,"['Crime', 'Sci-Fi']",8.3,"18,335,230",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
7,A Good Year,2006,117,"['Comedy', 'Drama', 'Romance']",6.9,"18,335,230",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
8,A Little Romance,1979,110,"['Adventure', 'Comedy', 'Romance']",7.4,"18,335,230",0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9,A Room with a View,1985,117,"['Drama', 'Romance']",7.2,"18,335,230",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10,A Walk to Remember,2002,101,"['Drama', 'Romance']",7.3,"18,335,230",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11,About a Boy,2002,101,"['Comedy', 'Drama', 'Romance']",7.1,"18,335,230",0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12,All That Heaven Allows,1955,89,"['Drama', 'Music', 'Romance']",7.6,"18,335,230",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
13,All the Pretty Horses,2000,116,"['Drama', 'Romance', 'Western']",5.8,"18,335,230",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
