book_title,author,isbn,publisher,weeks_on_list,movie_title,year,length,movie_genre,movie_rating,star_rating, gross_amount ,Book Title (GoodReads),Author,average_rating,isbn,isbn13,language_code,publication_date,publisher
HAPPY PLACE,Emily Henry,9780593441275,Berkley,1,127 Hours,2010,94 min,"Biography, Drama",R,7.5,"$18,335,230.00 ",1632,Eric Flint,4.04,1416532811,9781420000000,eng,6/15/2006,Baen Books
SIMPLY LIES,David Baldacci,9781538750636,Grand Central,2,100 Rifles,1969,110 min,"Adventure, Drama, War",R,6, N/A ,1776,David McCullough,4.07,743226720,9780740000000,eng,7/4/2006,Simon  Schuster
IT ENDS WITH US,Colleen Hoover,9781501110368,Atria,98,The Hunger Games: Catching Fire,2013,146 min,"Action, Adventure, Sci-Fi",PG-13,7.5,"$424,668,047.00 ",1984,George Orwell/Erich Fromm,4.18,451516753,9780450000000,eng,7/1/1981,Signet Classics
THE LAST THING HE TOLD ME,Laura Dave,9781501171352,Marysue Rucci,42,A Beautiful Mind,2001,135 min,"Biography, Drama",PG-13,8.2,"$170,742,341.00 ","  ,said the shotgun to the head.",Saul Williams,4.22,743470796,9781580000000,eng,12/4/2001,Seven Stories Press
LESSONS IN CHEMISTRY,Bonnie Garmus,9780385547345,Doubleday,25,A Civil Action,1998,115 min,Drama,PG-13,6.6,"$56,702,901.00 ",$30 Film School: How to Write  Direct  Produce  Shoot  Edit  Distribute  Tour With  and Sell Your Own No-Budget Digital Movie,Michael W. Dean,3.49,1592000673,9780740000000,en-US,9/1/2003,MTV Books
IT STARTS WITH US,Colleen Hoover,9781668001226,Atria,28,A Clockwork Orange,1971,136 min,"Crime, Sci-Fi",R,8.3,"$6,207,725.00 ",10 lb Penalty,Dick Francis,3.9,042519745X,9781590000000,eng,5/13/2003,Cengage Learning
SMALL MERCIES,Dennis Lehane,9780062129505,Harper,1,A Little Romance,1979,110 min,"Adventure, Comedy, Romance",PG,7.4, N/A ,100 Great Fantasy Short Short Stories,Isaac Asimov/Terry Carr/Martin H. Greenberg/Janet  Fox,3.91,380699176,9780430000000,eng,8/3/2004,G.P. Putnam's Sons
VERITY,Colleen Hoover,9781538724736,Grand Central,73,A Room with a View,1985,117 min,"Drama, Romance",Not Rated,7.2,"$20,966,644.00 ",100 Love Sonnets,Pablo Neruda/Stephen Tapscott,4.39,292760280,9780380000000,eng,8/1/1985,Avon
HELLO BEAUTIFUL,Ann Napolitano,9780593243732,Dial,7,A Walk to Remember,2002,101 min,"Drama, Romance",PG,7.3,"$41,281,092.00 ",100 Years of Lynchings,Ralph Ginzburg,4.61,933121180,9780290000000,eng,1/1/1986,University of Texas Press
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933,Washington Square/Atria,95,About a Boy,2002,101 min,"Comedy, Drama, Romance",PG-13,7.1,"$41,385,278.00 ",1000 Rings: Inspiring Adornments for the Hand,Marthe Le Van/Robert W. Ebendorf/Lark Books,4.23,1579905080,9780930000000,eng,11/22/1996,Black Classic Press
THE WAY OF THE BEAR,Anne Hillerman,9780062908414,Harper,1,All That Heaven Allows,1955,89 min,"Drama, Music, Romance",Passed,7.6, N/A ,1001 Illuminated Initial Letters: 27 Full-Color Plates,Owen    Jones,3.46,486256073,9781580000000,eng,8/1/2004,Lark Books
