book_title,author,isbn,publisher,weeks_on_list,book_published,movie_released
HAPPY PLACE,Emily Henry,9780593441275.00,Berkley,1,,
SIMPLY LIES,David Baldacci,9781538750636.00,Grand Central,2,,
IT ENDS WITH US,Colleen Hoover,9781501110368.00,Atria,98,,
THE LAST THING HE TOLD ME,Laura Dave,9781501171352.00,Marysue Rucci,42,,
LESSONS IN CHEMISTRY,Bonnie Garmus,9780385547345.00,Doubleday,25,,
IT STARTS WITH US,Colleen Hoover,9781668001226.00,Atria,28,,
SMALL MERCIES,Dennis Lehane,9780062129505.00,Harper,1,,
VERITY,Colleen Hoover,9781538724736.00,Grand Central,73,,
HELLO BEAUTIFUL,Ann Napolitano,9780593243732.00,Dial,7,,
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933.00,Washington Square/Atria,95,,
THE WAY OF THE BEAR,Anne Hillerman,9780062908414.00,Harper,1,,
IN THE LIVES OF PUPPETS,T.J. Klune,9781250217448.00,Tor,1,,
NEVER NEVER,Colleen Hoover and Tarryn Fisher,9781335004888.00,Canary Street,9,,
DAISY JONES & THE SIX,Taylor Jenkins Reid,9781524798642.00,Ballantine,17,,
"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,9780593321201.00,Knopf,20,,
THE WAGER,David Grann,9780385534260.00,Doubleday,2,,
OUTLIVE,Peter Attia with Bill Gifford,9780593236598.00,Harmony,5,,
THE LIGHT WE CARRY,Michelle Obama,9780593237465.00,Crown,23,,
GREENLIGHTS,Matthew McConaughey,9780593139134.00,Crown,73,,
THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780143127741.00,Penguin,140,,
CRYING IN H MART,Michelle Zauner,9781984898951.00,Vintage,58,,
YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270428.00,Broadside,2,,
DON'T TELL ANYBODY THE SECRETS I TOLD YOU,Lucinda Williams,9780593136492.00,Crown,1,,
I'M GLAD MY MOM DIED,Jennette McCurdy,9781982185824.00,Simon & Schuster,38,,
SPARE,Prince Harry,9780593593806.00,Random House,16,,
KILLERS OF THE FLOWER MOON,David Grann,9780307742483.00,Doubleday,74,,
"POVERTY, BY AMERICA",Matthew Desmond,9780593239919.00,Crown,6,,
"HONEY, BABY, MINE",Laura Dern and Diane Ladd,9781538720370.00,Grand Central,1,,
A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268.00,Viking,3,,
PROJECT 562,Matika Wilbur,9781984859525.00,Ten Speed,1,,
HAPPY PLACE,Emily Henry,9780593441275.00,Berkley,1,,
SIMPLY LIES,David Baldacci,9781538750636.00,Grand Central,2,,
LESSONS IN CHEMISTRY,Bonnie Garmus,9780385547345.00,Doubleday,51,,
IN THE LIVES OF PUPPETS,T.J. Klune,9781250217448.00,Tor,1,,
SMALL MERCIES,Dennis Lehane,9780062129482.00,Harper,1,,
HELLO BEAUTIFUL,Ann Napolitano,9780593243732.00,Dial,7,,
"TOMORROW, AND TOMORROW, AND TOMORROW",Gabrielle Zevin,9780593321201.00,Knopf,31,,
HANG THE MOON,Jeannette Walls,9781501117299.00,Scribner,5,2005,2017
HANG THE MOON,Jeannette Walls,9781501117299.00,Scribner,5,2005,2017
THE WAY OF THE BEAR,Anne Hillerman,9780062908391.00,Harper,1,,
IT ENDS WITH US,Colleen Hoover,9781668021040.00,Atria,2,,
DARK ANGEL,John Sandford,9780593422410.00,Putnam,3,,
ROMANTIC COMEDY,Curtis Sittenfeld,9780399590948.00,Random House,4,,
REMARKABLY BRIGHT CREATURES,Shel Van Pelt,9780063204157.00,Ecco,15,,
YOU SHOULDN'T HAVE COME HERE,Jeneva Rose,9798212182805.00,Blackstone,1,,
NIGHT ANGEL NEMESIS,Brent Weeks,9780316554909.00,Orbit,1,,
THE WAGER,David Grann,9780385534260.00,Doubleday,2,,
THE LIGHT WE CARRY,Michelle Obama,9780593237465.00,Crown,24,,
OUTLIVE,Peter Attia with Bill Gifford,9780593236598.00,Harmony,5,,
GREENLIGHTS,Matthew McConaughey,9780593139134.00,Crown,91,,
DON'T TELL ANYBODY THE SECRETS I TOLD YOU,Lucinda Williams,9780593136492.00,Crown,1,,
YOU CAN'T JOKE ABOUT THAT,Kat Timpf,9780063270428.00,Broadside,2,,
I'M GLAD MY MOM DIED,Jennette McCurdy,9781982185824.00,Simon & Schuster,38,,
SPARE,Prince Harry,9780593593806.00,Random House,16,,
"HONEY, BABY, MINE",Laura Dern and Diane Ladd,9781538720370.00,Grand Central,1,,
"POVERTY, BY AMERICA",Matthew Desmond,9780593239919.00,Crown,6,,
PROJECT 562,Matika Wilbur,9781984859525.00,Ten Speed,1,,
A FEVER IN THE HEARTLAND,Timothy Egan,9780735225268.00,Viking,3,,
FAT TALK,Virginia Sole-Smith,9781250831217.00,Holt,1,,
YOU COULD MAKE THIS PLACE BEAUTIFUL,Maggie Smith,9781982185855.00,Atria/One Signal,3,,
WHAT HAPPENED TO YOU?,Bruce D. Perry and Oprah Winfrey,9781250223180.00,Flatiron,51,,
THE LAST THING HE TOLD ME,Laura Dave,9781501171352.00,Marysue Rucci,6,,
IT ENDS WITH US,Colleen Hoover,9781501110368.00,Atria,104,,
IT STARTS WITH US,Colleen Hoover,9781668001226.00,Atria,28,,
THE SEVEN HUSBANDS OF EVELYN HUGO,Taylor Jenkins Reid,9781501161933.00,Washington Square/Atria,112,,
VERITY,Colleen Hoover,9781538724736.00,Grand Central,90,,
NEVER NEVER,Colleen Hoover and Tarryn Fisher,9781335004888.00,Canary Street,9,,
UGLY LOVE,Colleen Hoover,9781476753188.00,Atria,92,,
DAISY JONES & THE SIX,Taylor Jenkins Reid,9781524798642.00,Ballantine,24,,
KING OF WRATH,Ana Huang,9781728289724.00,Bloom,1,,
HEART BONES,Colleen Hoover,9781668021910.00,Atria,13,,
THE INVISIBLE LIFE OF ADDIE LARUE,V.E. Schwab,9780765387578.00,Tor,3,,
THINGS WE NEVER GOT OVER,Lucy Score,9781945631832.00,Bloom,30,,
ICEBREAKER,Hannah Grace,9781668026038.00,Atria,11,,
THE HOUSEMAID,Freida McFadden,9781538742570.00,Grand Central,1,,
THE SILENT PATIENT,Alex Michaelides,9781250301703.00,Celadon,89,,
THE BODY KEEPS THE SCORE,Bessel van der Kolk,9780143127741.00,Penguin,236,,
CRYING IN H MART,Michelle Zauner,9781984898951.00,Vintage,5,,
KILLERS OF THE FLOWER MOON,David Grann,9780307742483.00,Vintage,113,,
THE ESCAPE ARTIST,Jonathan Freedland,9780063112360.00,Harper,1,,
BRAIDING SWEETGRASS,Robin Wall Kimmerer,9781571313560.00,Milkweed Editions,159,,
ALL ABOUT LOVE,bell hooks,9780060959470.00,Morrow,73,,
FINDING ME,Viola Davis,9780063037366.00,HarperOne,4,,
EDUCATED,Tara Westover,9780399590528.00,Random House,47,,
"THINKING, FAST AND SLOW",Daniel Kahneman,9780374533557.00,"Farrar, Straus & Giroux",360,,
FINDING ME,Viola Davis,9780063037342.00,HarperAudio,0,,
THE DAWN OF EVERYTHING,David Graeber and David Wengrow,9781250858801.00,Picador,4,,
THE GLASS CASTLE,Jeannette Walls,9780743247542.00,Scribner,466,2005,2017
THE GLASS CASTLE,Jeannette Walls,9780743247542.00,Scribner,466,2005,2017
TALKING TO STRANGERS,Malcolm Gladwell,9780316299220.00,Back Bay,83,,
BEING MORTAL,Atul Gawande,9781250076229.00,Metropolitan,129,,
THE ANTHROPOCENE REVIEWED,John Green,9780525555247.00,Dutton,6,,
GRIT,Angela Duckworth,9781501111112.00,Scribner,145,,
ATOMIC HABITS,James Clear,9780735211292.00,Avery,179,,
THE CREATIVE ACT,Rick Rubin with Neil Strauss,9780593652886.00,Penguin Press,15,,
Y'ALL EAT YET?,Miranda Lambert with Holly Gleason,9780063087781.00,Dey Street,1,,
